gameid,side,league,year,patch,teamname,datacompleteness,result,win,golddiffat10,firstdragon,dragons,opp_dragons,firstbaron,barons,opp_barons,towers,opp_towers,visionscore,vspm,killsat10,opp_killsat10,tower_diff,team_vspm,kills_diff_10
ESPORTSTMNT01_2690210,Blue,LCKC,2022,12.01,BRION Challengers,complete,0,0,52.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,6.0,394.0,13.8005,0.0,0.0,-3.0,13.8005,0.0
ESPORTSTMNT01_2690210,Red,LCKC,2022,12.01,Nongshim Esports Academy,complete,1,1,-52.0,1.0,3.0,1.0,0.0,0.0,0.0,6.0,3.0,410.0,14.3609,0.0,0.0,3.0,14.3609,0.0
ESPORTSTMNT01_2690219,Blue,LCKC,2022,12.01,T1 Esports Academy,complete,0,0,-894.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,11.0,554.0,15.7238,0.0,1.0,-8.0,15.7238,-1.0
ESPORTSTMNT01_2690219,Red,LCKC,2022,12.01,Liiv SANDBOX Youth,complete,1,1,894.0,1.0,4.0,1.0,1.0,0.0,0.0,11.0,3.0,692.0,19.6404,1.0,0.0,8.0,19.6404,1.0
ESPORTSTMNT01_2690227,Blue,LCKC,2022,12.01,KT Rolster Challengers,complete,1,1,53.0,1.0,4.0,1.0,1.0,0.0,0.0,11.0,2.0,528.0,16.065,0.0,0.0,9.0,16.065,0.0
ESPORTSTMNT01_2690227,Red,LCKC,2022,12.01,Gen.G Global Academy,complete,0,0,-53.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,11.0,478.0,14.5436,0.0,0.0,-9.0,14.5436,0.0
ESPORTSTMNT01_2690255,Blue,LCKC,2022,12.01,Dplus KIA Challengers,complete,0,0,99.0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,9.0,594.0,14.3248,0.0,0.0,-4.0,14.3248,0.0
ESPORTSTMNT01_2690255,Red,LCKC,2022,12.01,DRX Challengers,complete,1,1,-99.0,1.0,2.0,4.0,1.0,0.0,0.0,9.0,5.0,760.0,18.328000000000003,0.0,0.0,4.0,18.328000000000003,0.0
ESPORTSTMNT01_2690264,Blue,LCKC,2022,12.01,DN Freecs Challengers,complete,1,1,478.0,0.0,1.0,4.0,1.0,0.0,0.0,11.0,1.0,510.0,15.1485,0.0,0.0,10.0,15.1485,0.0
ESPORTSTMNT01_2690264,Red,LCKC,2022,12.01,Hanwha Life Esports Challengers,complete,0,0,-478.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,11.0,470.0,13.9604,0.0,0.0,-10.0,13.9604,0.0
ESPORTSTMNT01_2690302,Blue,NLC,2022,12.01,Vanir,complete,1,1,-253.0,1.0,5.0,3.0,0.0,0.0,0.0,8.0,7.0,744.0,15.3402,0.0,0.0,1.0,15.3402,0.0
ESPORTSTMNT01_2690302,Red,NLC,2022,12.01,Team Singularity,complete,0,0,253.0,0.0,3.0,5.0,1.0,0.0,0.0,7.0,8.0,730.0,15.0516,0.0,0.0,-1.0,15.0516,0.0
ESPORTSTMNT01_2690328,Blue,NLC,2022,12.01,Bifrost,complete,1,1,306.0,0.0,3.0,2.0,1.0,0.0,0.0,9.0,2.0,536.0,15.8268,1.0,0.0,7.0,15.8268,1.0
ESPORTSTMNT01_2690328,Red,NLC,2022,12.01,MNM Gaming,complete,0,0,-306.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,9.0,458.0,13.5236,0.0,1.0,-7.0,13.5236,-1.0
ESPORTSTMNT01_2690351,Blue,NLC,2022,12.01,NYYRIKKI,complete,0,0,-129.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,11.0,532.0,15.0424,0.0,0.0,-9.0,15.0424,0.0
ESPORTSTMNT01_2690351,Red,NLC,2022,12.01,Astralis Talent,complete,1,1,129.0,0.0,3.0,2.0,1.0,0.0,0.0,11.0,2.0,514.0,14.5334,0.0,0.0,9.0,14.5334,0.0
ESPORTSTMNT01_2690370,Blue,NLC,2022,12.01,Riddle Esports,complete,0,0,-205.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,438.0,14.2517,0.0,0.0,-10.0,14.2517,0.0
ESPORTSTMNT01_2690370,Red,NLC,2022,12.01,X7 Esports,complete,1,1,205.0,0.0,3.0,1.0,1.0,0.0,0.0,10.0,0.0,410.0,13.3406,0.0,0.0,10.0,13.3406,0.0
ESPORTSTMNT01_2690390,Blue,NLC,2022,12.01,Dusty,complete,0,0,-401.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,10.0,310.0,12.07,0.0,0.0,-8.0,12.07,0.0
ESPORTSTMNT01_2690390,Red,NLC,2022,12.01,JD|XL,complete,1,1,401.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,2.0,290.0,11.2914,0.0,0.0,8.0,11.2914,0.0
ESPORTSTMNT01_2690439,Blue,LCKC,2022,12.01,Hanwha Life Esports Challengers,complete,1,1,-7.0,1.0,3.0,0.0,1.0,0.0,0.0,7.0,2.0,464.0,15.1965,1.0,0.0,5.0,15.1965,1.0
ESPORTSTMNT01_2690439,Red,LCKC,2022,12.01,T1 Esports Academy,complete,0,0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,7.0,476.0,15.5896,0.0,1.0,-5.0,15.5896,-1.0
ESPORTSTMNT01_2690444,Blue,LCKC,2022,12.01,Nongshim Esports Academy,complete,0,0,-43.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,9.0,310.0,12.253,0.0,0.0,-7.0,12.253,0.0
ESPORTSTMNT01_2690444,Red,LCKC,2022,12.01,Dplus KIA Challengers,complete,1,1,43.0,0.0,3.0,1.0,1.0,1.0,0.0,9.0,2.0,358.0,14.1501,0.0,0.0,7.0,14.1501,0.0
ESPORTSTMNT01_2690460,Blue,LCKC,2022,12.01,KT Rolster Challengers,complete,0,0,-565.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,8.0,404.0,13.812100000000001,0.0,0.0,-5.0,13.812100000000001,0.0
ESPORTSTMNT01_2690460,Red,LCKC,2022,12.01,DRX Challengers,complete,1,1,565.0,1.0,4.0,0.0,1.0,0.0,0.0,8.0,3.0,480.0,16.4102,0.0,0.0,5.0,16.4102,0.0
ESPORTSTMNT01_2690464,Blue,LCKC,2022,12.01,BRION Challengers,complete,0,0,-557.0,0.0,4.0,3.0,1.0,0.0,0.0,6.0,11.0,578.0,13.5046,0.0,0.0,-5.0,13.5046,0.0
ESPORTSTMNT01_2690464,Red,LCKC,2022,12.01,DN Freecs Challengers,complete,1,1,557.0,1.0,3.0,4.0,0.0,0.0,0.0,11.0,6.0,668.0,15.6075,0.0,0.0,5.0,15.6075,0.0
